original_cname,mapped_cname
AMS3801,Dismissed Bankruptcy Public Record Flag
AMS3802,Discharged Bankruptcy Public Record w/in 24 M Flag
AMS3803,Discharged Bankruptcy Public Record Flag
AMS3804,"Non-Dismissed, Non-Discharged Bankruptcy Public Record w/in 24 M Flag"
AMS3805,"Non-Dismissed, Non-Discharged Bankruptcy Public Record Flag"
AMS3806,Foreclosure w/in 12 M Flag
AMS3807,"# Public Record Tax Liens, Suits and Judgments and 3rd Party Collection Items excluding Debt Buyer"
AMS3808,T Bal Defaulted StuLoan Trades w/Update w/in 3 M
AMS3809,% Bal to High Credit Open Retail Trades w/Update w/in 3 M
AMS3810,% Retail Trades to Rev Trades
AMS3811,% Retail Trades to Trades
AMS3812,Age Newest Tax Lien Public Record Item
AMS3813,Age Newest Judgment Public Record Item
AMS3814,# of Tax Lien Pub Rec Item
AMS3815,# of Judgment Pub Rec Item
AMS3825,% Bkcrd Trades to Trades
AMS3826,% Dept Store Trades to Trades
AMS3827,% Inst Trades to Trades
AMS3828,% Rev Trades to Trades
AMS3829,% Bkcrd Trades to Rev Trades
AMS3830,% Open Dept Store Trades to Open Retail Trades
AMS3831,% Open Bkcrd Trades to Open Rev Trades
AMS3832,% Open Trades to Trades
AMS3833,% Open Bkcrd Trades to Bkcrd Trades
AMS3834,% Open Dept Store Trades to Dept Store Trades
AMS3835,% Open Inst Trades to Inst Trades
AMS3836,% Open Rev Trades to Rev Trades
AMS3837,% Open Bkcrd Trades to Open Trades
AMS3838,% Open Credit Union Trades to Open Trades
AMS3839,% Open Dept Store Trades to Open Trades
AMS3840,% Open Inst Trades to Open Trades
AMS3841,% Open Retail Trades to Open Trades
AMS3842,% Open Rev Trades to Open Trades
AMS3843,% Trades Opened w/in 6 M to Trades
AMS3844,% Trades Opened w/in 12 M to Trades
AMS3845,% Rev Trades Opened w/in 6 M to Rev Trades
AMS3846,T Bal Trades w/Update w/in 3 M
AMS3847,T Bal Bkcrd Trades w/Update w/in 3 M
AMS3848,T Bal Credit Union Trades w/Update w/in 3 M
AMS3849,T Bal Dept Store Trades w/Update w/in 3 M
AMS3850,T Bal PerFin and StuLoan Trades w/Update w/in 3 M
AMS3851,T Bal Retail Trades w/Update w/in 3 M
AMS3852,T Bal Rev Trades w/Update w/in 3 M
AMS3853,T Bal Sales Finance Trades w/Update w/in 3 M
AMS3854,% Bal to High Credit Open Bkcrd Trades w/Update w/in 3 M
AMS3855,% Bal to High Credit Open Dept Store Trades w/Update w/in 3 M
AMS3856,% Bal to High Credit Open Rev Trades w/Update w/in 3 M
AMS3857,% Bal to T Loan Amount Open Auto Trades w/Update w/in 3 M
AMS3858,% Bal to T Loan Amount Open Inst Trades w/Update w/in 3 M
AMS3859,% Bal to T Loan Amount Open Mortgage Trades w/Update w/in 3 M
AMS3860,% T PD to T Bal Bkcrd Trades w/Update w/in 3 M
AMS3861,% T PD to T Bal Retail Trades w/Update w/in 3 M
